V1,num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
,4.0,3.0,1.0,23.0,1694045314.0
,4.0,3.0,1.0,23.0,1694045576.0
,4.0,3.0,1.0,23.0,1694045836.0
,4.0,3.0,1.0,23.0,1694046101.0
,4.0,3.0,1.0,23.0,1694046364.0
,4.0,3.0,1.0,23.0,1694046621.0
,4.0,3.0,1.0,23.0,1694047149.0
,4.0,3.0,1.0,23.0,1694047418.0
,4.0,3.0,1.0,23.0,1694047418.0
,4.0,3.0,1.0,23.0,1694047949.0
,4.0,3.0,1.0,23.0,1694048212.0
,4.0,3.0,1.0,23.0,1694048478.0
,4.0,3.0,1.0,23.0,1694048739.0
,4.0,3.0,1.0,23.0,1694049001.0
,4.0,3.0,1.0,23.0,1694049525.0
,4.0,3.0,1.0,23.0,1694049786.0
,4.0,3.0,1.0,23.0,1694050052.0
,4.0,3.0,1.0,23.0,1694050313.0
,4.0,3.0,1.0,23.0,1694050576.0
,4.0,3.0,1.0,23.0,1694050838.0
,4.0,3.0,1.0,23.0,1694051100.0
,4.0,3.0,1.0,23.0,1694051362.0
,4.0,3.0,1.0,23.0,1694051890.0
,4.0,3.0,1.0,23.0,1694052154.0
,4.0,3.0,1.0,23.0,1694052416.0
,4.0,3.0,1.0,23.0,1694052678.0
,4.0,3.0,1.0,23.0,1694052944.0
,4.0,3.0,1.0,23.0,1694053208.0
,4.0,3.0,1.0,23.0,1694053472.0
,4.0,3.0,1.0,23.0,1694053995.0
,4.0,3.0,1.0,23.0,1694054254.0
,4.0,3.0,1.0,23.0,1694054516.0
,4.0,3.0,1.0,23.0,1694054780.0
,4.0,3.0,1.0,23.0,1694055043.0
,4.0,3.0,1.0,23.0,1694055309.0
,4.0,3.0,1.0,23.0,1694055571.0
,4.0,3.0,1.0,23.0,1694056101.0
,4.0,3.0,1.0,23.0,1694056363.0
,4.0,3.0,1.0,23.0,1694056627.0
,4.0,3.0,1.0,23.0,1694056895.0
,4.0,3.0,1.0,23.0,1694057158.0
,4.0,3.0,1.0,23.0,1694057422.0
,4.0,3.0,1.0,23.0,1694057688.0
,4.0,3.0,1.0,23.0,1694058214.0
,4.0,3.0,1.0,23.0,1694058507.0
,4.0,3.0,1.0,23.0,1694058768.0
,4.0,3.0,1.0,23.0,1694059025.0
,4.0,3.0,1.0,23.0,1694059286.0
,4.0,3.0,1.0,23.0,1694059545.0
,4.0,3.0,1.0,23.0,1694059807.0
